name,reference_model,notes,category
iPhone 15 Pro 256GB Titanio Natural,,Apple 2023,smartphone
Samsung Galaxy S24 Ultra 512GB,SM-S928B,,smartphone
MacBook Air M2 8GB 256GB,,Apple 2022,notebook
Sony WH-1000XM5,,Fone Bluetooth Noise Cancelling,audio
PlayStation 5 Slim Digital,,Console Sony,console
Geladeira Brastemp Frost Free 375L,BRM54HK,,geladeira
Geladeira Electrolux Frost Free 431L,TF55,,geladeira
Fogao Brastemp 5 Bocas,BFS5CAR,,fogao
Fogao Electrolux 5 Bocas,52EXV,,fogao
Maquina de Lavar Electrolux 11kg,LAC11,,lavadora
Maquina de Lavar Samsung 11kg,WW11BB,,lavadora
Forno Eletrico Electrolux 44L,OE8EX,,forno
Microondas LG 30L,MS3052L,,microondas
Chuveiro Lorenzetti Duo Advanced,,Lorenzetti,chuveiro
Lava Loucas Electrolux 8 Servicos,LE08X,,lava-loucas
Secadora de Roupas Electrolux 11kg,SVE11,,secadora
